horseID,name,country_age,owner,import_type,color_sex,sire,dam,dam_sire,url
J306,KARATE EXPRESS,AUS / 2,Brian Leung Hung Tak & Sophie Leung Lau Yau Fun,PPG,Bay / Gelding,Alabama Express,Tiffany's,High Chaparral,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J306
J391,KA YING ATTACK,NZ / 2,Wong Choi Ha,PPG,Bay / Gelding,Too Darn Hot,Refreshing,Stratum,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J391
J544,LANIAKEA,AUS / 2,Danny Chan Kwan Mun,PPG,Brown / Gelding,Capitalist,Bidding War,Snitzel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J544
J449,LUCKY KING,NZ / 2,Tam Kin Sang,PPG,Bay / Gelding,Epaulette,Lady Krovanh,Dehere,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J449
J521,LUCKY STATEMENT,AUS / 2,"Cheng Ming Leung, Cheng Yu Tung, Cheng Mei Mei & Cheng Yu Wai",PPG,Bay / Brown / Gelding,Press Statement,Zubara,Zabeel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J521
J412,NEW ASIA GREAT,AUS / 2,New Asia Alumni Syndicate,PPG,Bay / Gelding,Written Tycoon,Demanding Queen,Commands,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J412
J357,PATCH OF COSMO,NZ / 2,Simon Yeung Chun Kin,PPG,Bay / Gelding,Super Seth,Thee,Savabeel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J357
J450,PATCH OF DIAMONDS,AUS / 2,Patch Syndicate,PPG,Brown / Gelding,Gold Standard,Lucky Spirit,Show A Heart,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J450
J349,PATCH OF LUCKY,AUS / 2,Patch Syndicate,PPG,Bay / Gelding,Dubious,Faction,Encosta de Lago,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J349
J343,PATCH OF STARS,AUS / 2,Yeung Kin Man,PPG,Bay / Gelding,All Too Hard,Tuscany Lady,Mossman,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J343
J326,PERPETUAL POWER,GB / 3,Perpetual Friends Syndicate,PPG,Bay / Gelding,Land Force,Selinka,Selkirk,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J326
J324,POWER OF TWO,AUS / 2,"Tim Wing Sze, Wong Chin Leung, Lincoln Ling & Ou Jieling",PPG,Chestnut / Gelding,Zousain,Bulahdelah Miss,Cape Blanco,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J324
J368,REWARDING TWINKLE,AUS / 2,Virginia Lee Yuen Man,PPG,Bay / Gelding,Brutal,Pearl Congenial,Gio Ponti,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J368
J498,RISING PHOENIX,NZ / 2,James Kwan Wai Ming & Leung Kam Chuen,PPG,Bay / Gelding,Darci Brahma,Flying Firebird,Stravinsky,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J498
J264,RUN YES RUN,AUS / 2,Kong Wing Ming & Edmond Kong Chun Man,PPG,Bay / Gelding,Yes Yes Yes,Bella Vino,Exceed And Excel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J264
J518,SEA EMERALD,AUS / 2,HK Golf Club Racing Syndicate,PPG,Brown / Gelding,Grunt,Xanthippe,Street Cry,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J518
J165,SMART ZIPANG,JPN / 3,Toru Okawa,PPG,Bay / Gelding,Declaration Of War,Reticent Girl,Forty Niner,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J165
J371,SMILING EMPEROR,AUS / 2,Fung Kok Po,PPG,Brown / Gelding,Capitalist,Meri Rani,Stratum,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J371
J308,SOLAR RIVER,AUS / 2,Lam Chun Bong,PPG,Bay / Gelding,Capitalist,Mountain Laurel,Starcraft,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J308
J520,SPICY STANDARD,AUS / 2,Ng Chong Muk,PPG,Brown / Gelding,Pierata,Queen Caesar,Holy Roman Emperor,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J520
J342,THE DOUBLE EAGLE,AUS / 2,Johnny Shih Jar Yi,PPG,Bay / Gelding,All Too Hard,Elusive Valley,Equiano,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J342
J413,WORLD HERO,AUS / 2,Friends of The Saint Syndicate,PPG,Bay / Colt,Written Tycoon,Shaaheq,Redoute's Choice,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J413
