horseID,name,country_age,owner,import_type,color_sex,sire,dam,dam_sire,url
J229,HASTEN DELIGHT,AUS / 4,Tung Kit Syndicate,PP,Bay / Gelding,Star Turn,Hostile Witness,Street Sense,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J229
H260,HOLY LAKE,IRE / 4,Happy Diners Syndicate,PPG,Bay / Gelding,Holy Roman Emperor,Lake Louise,Haatef,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H260
H485,PATCH OF THETA,AUS / 4,Angela Yeung Kit Ming,ISG,Chestnut / Gelding,Zoustar,Fortune Of War,General Nediym,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H485
H334,BEAUTY CRESCENT,IRE / 4,Beauty Family Syndicate,PP,Bay / Gelding,Acclamation,Up In Time,Noverre,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H334
J527,ELITE ALLIANCE,IRE / 3,Sze-To Kin Sun,PP,Bay / Brown / Gelding,No Nay Never,I'll Have Another,Dragon Pulse,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J527
J333,MAGIC CONTROL,AUS / 3,Sim Tze Shiong,PP,Chestnut / Gelding,Sioux Nation,Jackpot Queen,Not A Single Doubt,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J333
J267,SUPREME AGILITY,BRZ / 4,Rotary Club of Sha Tin Syndicate,PP,Bay / Gelding,Setembro Chove,Margaery,Agnes Gold,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J267
H165,TURIN MASCOT,IRE / 5,"Dr Sheldon Tse Hiu Tung, Ken Huang Jian Hua & Tsoi Huk Yam",PP,Grey / Gelding,Caravaggio,Longing,Galileo,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H165
J530,J530,AUS / 4,23/24 Man Ka Leung Trainer Syndicate,PP,Bay / Gelding,Starcraft,Don't Tell Clang,Clang,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J530
H216,KAHOLO ANGEL,GB / 4,Ho Garrick Sai Man & Tam Wing Yee,PPG,Grey / Gelding,Havana Grey,Starboard Watch,Harbour Watch,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H216
J495,LUPO SOLITARIO,NZ / 3,Herbert Cheung Po Lun,PP,Bay / Gelding,Satono Aladdin,She's Aloof,Pentire,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J495
E279,BEAUTY FIT,AUS / 7,Beauty Fit Syndicate,PP,Bay / Gelding,Ilovethiscity,Feesforus,Legal Opinion,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E279
H170,EIGHTY LIGHT YEARS,AUS / 5,Zhao Guoming & Xiao Bing,PP,Bay / Gelding,Dream Ahead,Blue Ocean,Fastnet Rock,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H170
G110,GALAXY WITNESS,AUS / 5,Winnie Law Wing Yin,PPG,Bay / Gelding,Star Witness,Black Tulip,Lonhro,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G110
G209,RISING FROM ASHES,AUS / 6,Chan Chi Kong,PP,Brown / Gelding,Shamus Award,Tear Gas,High Chaparral,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G209
G476,ROMANTIC LAOS,NZ / 5,Cheng Keung Fai,ISG,Bay / Gelding,Pins,Zaburn,Zabeel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G476
H122,TOURBILLON PRINCE,AUS / 5,Tourbillon Prince Syndicate,PP,Brown / Gelding,Rommel,Colleges,Elusive Quality,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H122
G360,UNIVERSAL HORIZON,AUS / 5,Alexander Wong,PPG,Bay / Gelding,Shalaa,Aurora's Star,Medaglia d'Oro,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G360
J082,YOUTHFUL SPIRITS,AUS / 4,Alliance Sage Syndicate,PP,Bay / Gelding,Shamus Award,Rocket Baby,Danzero,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J082
E447,SOLID IMPACT,NZ / 6,Adam Bin Hassan,PP,Bay / Gelding,Sweynesse,Ultra Explosive,Darci Brahma,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E447
G016,SUGAR SUGAR,AUS / 5,Calvin Francis Tien,PPG,Brown / Gelding,Star Turn,In The Moment,Keeper,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G016
G221,ATOMIC FORCE,IRE / 5,Martin Siu Kim Sun,PP,Chestnut / Gelding,Cotai Glory,Atlas Silk,Dansili,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G221
J051,CALIFORNIA TOUCH,AUS / 4,Charmian Liang Shun Ming,PP,Bay / Gelding,Deep Field,Touch Of Greatness,Don Eduardo,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J051
H110,FIND MY LOVE,GB / 5,Mr & Mrs Dannis Lee Cheuk Yin,PP,Bay / Gelding,Frankel,Spring In The Air,Spring At Last,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H110
G165,GALLANT WAKING,AUS / 5,Dr & Mrs Simon Suen Siu Man,PPG,Bay / Gelding,Pride Of Dubai,Cassandara Shadow,Johannesburg,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G165
J197,HUGE WAVE,NZ / 4,Lau Fu Wing,PP,Bay / Gelding,Vadamos,Stanica,Zabeel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J197
J536,J536,AUS / 3,Leung Lun Ping,PP,Bay / Gelding,Real Steel,Northern Model,Northern Meteor,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J536
J158,KING MILES,AUS / 3,Bernie Yim Mei Fung & Yim Man Hay,PPG,Bay / Gelding,Exceed And Excel,Epitomise,More Than Ready,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J158
H237,SIMPLE HEDGE,AUS / 4,Mr & Mrs Idon Pong,PPG,Brown / Gelding,Sebring,Lovani,Lonhro,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H237
J186,STELLAR EXPRESS,FR / 4,Larry Yung Chi Kin,PP,Bay / Gelding,Zoustar,Darinja,Shamardal,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J186
J291,YOUNG ACHIEVER,FR / 4,HKJC Racing Club Limited,PP,Bay / Gelding,Seabhac,Angel Of Harlem,Holy Roman Emperor,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J291
G102,ASTROLOGER,AUS / 5,Happy Companions Syndicate,PP,Bay / Gelding,Star Turn,Fast 'N' Witty,Fastnet Rock,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G102
G166,HAPPY FAT CAT,AUS / 5,Admund Au Chi Hoe,PPG,Bay / Gelding,Shalaa,Bound To Blush,Strategic,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G166
J534,J534,AUS / 3,Tai Woon Shing & Timon Tai,PP,Bay / Colt,Justify,Fine Scent,All Too Hard,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J534
H324,NOBLE PURSUIT,NZ / 4,Mr & Mrs Leung Sze Tien,PPG,Bay / Gelding,Savabeel,Okahu Bay,Flying Spur,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H324
H120,PERFECT TEAM,AUS / 5,Ringo Ng Yiu Kwok & Lisa Ng Chan Choi Wan,PP,Brown / Gelding,Deep Impact,Amanee,Pivotal,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H120
E301,POWER KOEPP,GB / 6,Mr & Mrs Simon Ng Kar Ming,PP,Bay / Gelding,Equiano,Terse,Dansili,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E301
H070,SAMARKAND,NZ / 5,Dragon Imperial Syndicate,PP,Bay / Gelding,Mongolian Khan,Shimmy,Zabeel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H070
E472,STAR CONTACT,AUS / 5,Adrian Hassan,PPG,Chestnut / Gelding,Star Turn,Vittoria,Postponed,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E472
H219,FALLON,IRE / 4,Daryl Ng Win Kong,PP,Bay / Gelding,Galileo Gold,Providence,Acclamation,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H219
G434,GOLDEN ARTIE,AUS / 4,Henry Chan Lai Yue,PP,Bay / Gelding,Artie Schiller,Dig A Pony,Mutawaajid,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G434
J275,LUCY IN THE SKY,AUS / 3,Athy Ngai Sze Yin,PPG,Bay / Gelding,No Nay Never,Spiced,Exceed And Excel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J275
J435,ALPHA ONE,AUS / 4,Cheng Keung Fai,PP,Bay / Colt,Super One,Cash First,Exceed And Excel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J435
E459,BEAUTY GLORY,GB / 6,Patrick Kwok Ho Chuen,PP,Bay / Gelding,Toronado,Gregoria,Holy Roman Emperor,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E459
J468,CANDLELIGHT DINNER,AUS / 3,Mr & Mrs Cheng Chak Yin,PP,Bay / Gelding,Russian Revolution,I Am Gypsy,I Am Invincible,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J468
H311,GLORY ELITE,AUS / 3,Glory Syndicate,PPG,Bay / Gelding,Russian Revolution,The King's Widow,All Too Hard,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H311
J511,J511,AUS / 2,Jonathan Cheung Yu Shing,PP,Chestnut / Colt,Capitalist,Menagerie,Zoustar,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J511
H337,SELF IMPROVEMENT,AUS / 4,Wong Chung Yin & Wong Lai Ngor,PP,Bay / Gelding,Deep Field,Jerry's Witness,Star Witness,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H337
J402,SOVEREIGN FUND,AUS / 3,Glenn Chan Wai Cheung & Raymond Chan Ka Shun,PP,Chestnut / Gelding,Capitalist,Mossbeat,Mossman,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J402
E253,SUPER WIN DRAGON,AUS / 6,Yip Shu Bun & Antonia Liu Wing Yan,PP,Brown / Gelding,Better Than Ready,Vital Page,Iglesia,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E253
J136,TALENTS AMBITION,AUS / 3,Talentogether Syndicate,PP,Grey / Gelding,Into Mischief,Spirit Of Ecstasy,Congrats,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J136
J251,THE WINNABE,AUS / 3,Cheng Siu Kwong,PPG,Grey / Gelding,Caravaggio,Maewyn,Dream Ahead,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J251
J268,TOY SOLTERO,CHI / 4,Hello Hong Kong Syndicate,PP,Bay / Rig,Van Nistelrooy,Malibu Maple,Malibu Moon,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J268
G123,AMAZING VICTORY,AUS / 5,Chan Kwok Yuen,PPG,Bay / Gelding,Sizzling,Stitchery,Mossman,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G123
J142,DIVANO,AUS / 3,Chen Chun Man,PPG,Brown / Gelding,Brave Smash,Been Scene,Bianconi,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J142
H069,GOKO WIN,AUS / 5,Ip Chun Shing,PP,Bay / Gelding,Love Conquers All,Mingo Rose,Waterford Road,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H069
J124,GREAT STATE,GB / 4,Connie Siu Kim Ying,PP,Grey / Gelding,Havana Grey,Foxcatcher,Foxwedge,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J124
H116,IVY LEAGUE,IRE / 5,Yu Chu Lam,PP,Bay / Gelding,Galileo,Timbuktu,Fastnet Rock,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H116
J190,PERFUSE,GB / 4,Zeng Shuida,PP,Chestnut / Gelding,Lope de Vega,Suffused,Champs Elysees,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J190
J140,PRAWNS ELEVEN,NZ / 4,Toast Trust Syndicate,PP,Chestnut / Gelding,Super Easy,Pussycat Holiday,Private Call,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J140
J300,PRESTIGE ALWAYS,IRE / 3,Eric Yeung Ting Fung,PP,Bay / Gelding,Starspangledbanner,Rely On Me,Kyllachy,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J300
J399,SILO,AUS / 3,Toast Sports Trust Syndicate,PP,Bay / Colt,National Defense,Choice Words,Choisir,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J399
G057,BEAUTY LIVE,AUS / 6,Kitty Kwok Sea Nga,PPG,Bay / Gelding,Shamus Award,Miss Ethics,Count Dubois,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G057
J138,CHAIN OF GOLD,AUS / 4,Project Invincible Syndicate,PP,Bay / Gelding,Sooboog,Light Missile,Smart Missile,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J138
J210,FORTUNE SUPERSTAR,IRE / 3,Yan Ting Xu,PP,Brown / Gelding,Ten Sovereigns,On Ice,Galileo,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J210
J303,GUSTOSISIMO,AUS / 3,Edwin Cheung Hon Kit,PP,Chestnut / Gelding,Exceed And Excel,Kaniana,Canny Lad,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J303
J528,J528,NZ / 4,Calvin Cheng Ka Sing,PP,Bay / Gelding,Contributer,Pamina,Keeper,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J528
H198,JOYFUL HUNTER,NZ / 4,Mr & Mrs Chow Kay Yui,PPG,Bay / Gelding,Darci Brahma,Giant Hunter,Lope de Vega,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H198
H155,LADY'S CHOICE,NZ / 4,HK Association of Lady Horse Lovers Syndicate,PPG,Bay / Gelding,Charm Spirit,No Pushover,Pins,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H155
J233,LO PAN SPIRIT,NZ / 3,Opulence Syndicate,PPG,Bay / Gelding,Charm Spirit,Potions,Encosta de Lago,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J233
E445,MASSIVE ACTION,NZ / 6,Chan Kam Hung,PP,Grey / Gelding,Reliable Man,Classical,Stravinsky,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E445
H127,MODULECONSTRUCTION,AUS / 4,Eddie Lam Kin Wing & Arthur Lam Chi Ping,PPG,Bay / Gelding,Overshare,Spring Burst,Exceed And Excel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H127
H264,O'LINER,AUS / 5,Ngo Tai Tak,PP,Bay / Gelding,Fastnet Rock,O'Marilyn,O'Reilly,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H264
G192,PHOENIX LIGHT,AUS / 6,Asther Leung Wing Yi,PP,Bay / Gelding,Love Conquers All,Courtship,Danzero,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G192
J404,POLARIS,AUS / 3,Kevin Yau Kung Wan,PP,Bay / Gelding,Written Tycoon,Slumber Party,Snitzel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J404
E364,SOLAR PARTNER,AUS / 6,Hui Sze Man,PPG,Black / Gelding,Zoustar,Gilded Grace,Gilded Time,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E364
H007,ALLGREEKTOME,AUS / 5,Mr & Mrs James Tien Pei Chun,PPG,Brown / Gelding,Scissor Kick,Phaedra,Hussonet,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_H007
H377,BEAUTY INFINITY,AUS / 4,Beauty Family Syndicate,PPG,Bay / Gelding,Toronado,No Push Over,Brief Truce,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H377
J215,BRIGHT INHERITANCE,AUS / 4,23/24 Dennis C H Yip Trainer Syndicate,PP,Chestnut / Gelding,Star Witness,Solar Kitty,Northern Meteor,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J215
G452,FLAGSHIP WARRIOR,AUS / 5,Kwok Chan Yiu,PP,Bay / Gelding,Foxwedge,Inishmore,More Than Ready,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G452
E346,JOLLY RULER,GB / 6,Kenny Cheng Tsin Ki,PP,Bay / Gelding,Helmet,Miramont,Iffraaj,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E346
G402,LEAN HERO,AUS / 4,Friends of The Saint Syndicate,PPG,Bay / Gelding,Maurice,Frontalis,Redoute's Choice,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G402
J133,MUST GO,AUS / 3,Lee Lit Lung & Vicky Tang,PP,Bay / Brown / Gelding,All Too Hard,Madame Moustache,Hinchinbrook,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J133
H241,RED ELEGANCE,AUS / 4,Dannis Lee Cheuk Yin,PPG,Grey / Gelding,Toronado,Esteemed Elegance,Sir Percy,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H241
H420,SILVER KING,NZ / 4,Ngai Hon Cheung,PP,Grey / Gelding,Turn Me Loose,Spendaholic,No Excuse Needed,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H420
J092,SKY HEART,NZ / 3,Kwan Yui Man,PPG,Bay / Gelding,Ardrossan,Luroel,Per Incanto,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J092
J209,TURIN STARSPANGLED,GB / 3,"Tsoi Huk Yam, Ken Huang Jian Hua, Dr Sheldon Tse Hiu Tung & Wendy Wu Chuwan",PP,Chestnut / Gelding,Starspangledbanner,Federation,Motivator,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J209
J405,ALSONSO,AUS / 3,Zhang Yuesheng,PP,Chestnut / Gelding,Zoustar,Soriano,Savabeel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J405
J394,FRANCIS MEYNELL,IRE / 3,Albert Hung Chao Hong & Kevin Hung Dingteng,PP,Bay / Gelding,Blue Point,Dame Hester,Diktat,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J394
J020,GIDDY UP,AUS / 4,Lau Lee Ka,PP,Bay / Gelding,Fiorente,Socarada,Strada,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J020
J538,J538,AUS / 3,"Peter Lee Kwok Wah, Tony Lau Hon Kwan & Kenny Cheng Tsin Ki",PP,Bay / Gelding,Snitzel,Street Secret,Street Cry,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J538
G461,LOST CHILD,NZ / 4,Peter Lee Kwok Wah,PPG,Bay / Gelding,Swiss Ace,Loch Leven,General Nediym,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G461
G474,MASTER OF FORTUNE,IRE / 5,Yan Ting Xu,ISG,Bay / Gelding,Fastnet Rock,Stellar Glow,Sea The Stars,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G474
E184,MEGA BONUS,AUS / 6,"Mr & Mrs Tser Yiu Cho, Justin Tser Ka Ho and Johnson Tser Ka Yu",PPG,Chestnut / Gelding,Shooting To Win,Exceed And Excite,Exceed And Excel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E184
E234,PARTERRE,SAF / 7,Jeanne Ng Mien Yi,PP,Bay / Gelding,Flower Alley,Square Dance,Oasis Dream,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E234
J245,PRAY FOR MIR,AUS / 3,Chris So Chun Hung & Alexander So,PP,Bay / Gelding,Justify,Formality,Fastnet Rock,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J245
H319,SECOND TO NONE,NZ / 4,Mr & Mrs Raymund Chao Pak Ki,PPG,Bay / Gelding,Astern,Forbetterforworse,Dubawi,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H319
H239,STAR CLUB,AUS / 4,Mr & Mrs Michael Cheng Wing On and Joyce Cheng Po Yin,PPG,Bay / Gelding,Star Turn,Madame Bookworm,Publishing,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H239
E221,SUMMIT CHEERS,AUS / 6,Herman Woo Hon Man & Woo Shuet Ming,PPG,Bay / Gelding,Zoustar,Saffie Darling,Catrail,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E221
J164,SUPER JOY N FUN,NZ / 3,"Johnny Wong Chun Nam, Nancy Wong, Maizie Wong & Wong Chi Poh",PPG,Brown / Gelding,What's The Story,Citycenta,Elusive City,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J164
H459,THE HEIR,AUS / 4,Eddie Junior Yau,PP,Bay / Gelding,Impending,Isola Blu,Blackfriars,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H459
J362,BITS SUPERSTAR,AUS / 3,Tam Jin Rong,PP,Bay / Gelding,Capitalist,Terrifying,Stratum,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J362
H389,BRAVEHEARTS,ARG / 5,Edmond Yue Kwok Yin,PP,Bay / Gelding,Cityscape,O K Angie,Orpen,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H389
J465,BUNTA BABY,AUS / 3,"Chu Tak Wing, Casey Chu Yin Ling & Ronald Chu Tak Wah",PP,Bay / Gelding,Cable Bay,Ahhhh,Lonhro,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J465
H147,GALVANIC,AUS / 4,Henry Chuang Yueheng,PPG,Chestnut / Gelding,Ilovethiscity,Miss Hottie,Commands,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H147
J137,GLORIOUS JOURNEY,NZ / 4,Hui Yuk Hon,PP,Bay / Gelding,Sacred Falls,La Praline,Anabaa,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J137
J434,GOR MO TUEN,AUS / 4,The Easy Ride Syndicate,PP,Brown / Gelding,Spieth,Call Me Cute,Astronomer Royal,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J434
H208,HAPPY UNITED,NZ / 4,Millions In One Syndicate,PPG,Bay / Gelding,Sweynesse,Light Mozart,Mozart,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H208
J431,HORSEPOWER,AUS / 3,Michael T H Lee & Vanessa Lee,PP,Bay / Gelding,Harry Angel,Romneya,Red Ransom,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J431
J513,J513,AUS / 3,Beyond Wins Syndicate,PP,Chestnut / Gelding,Pride Of Dubai,Dubawi's Image,Dubawi,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J513
J537,J537,AUS / 3,23/24 David Hayes Trainer Syndicate,PP,Bay / Gelding,Smart Missile,Remlaps Jewel,Choisir,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J537
H383,JOY OF SPRING,AUS / 4,Mr & Mrs Edward Hung and Doris Hung,PPG,Bay / Gelding,Deep Field,Certitude,Not A Single Doubt,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H383
J433,KING OF DUBAI,AUS / 3,23/24 Mark Newnham Trainer Syndicate,PP,Bay / Gelding,Pride Of Dubai,Amber's Crown,Excites,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J433
E471,LESLIE,AUS / 5,Apple of My Eyes Syndicate,PPG,Chestnut / Gelding,Shooting To Win,We Can Dance,Shinzig,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E471
H433,MAGNIFICENT NINE,AUS / 4,22/23 John Size Trainer Syndicate,PP,Bay / Gelding,Toronado,Lipstick Lover,I Am Invincible,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H433
H124,MAJESTIC COLOUR,AUS / 5,Johnson Chen & Irene Chen,PP,Bay / Gelding,So You Think,Vivid Diamonte,Fastnet Rock,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H124
H455,MONTA FRUTTA,AUS / 4,Edwin Cheung Hon Kit,PP,Bay / Gelding,Capitalist,Ma Can Do It,Majesticperfection,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H455
G396,NOT USUAL STAR,AUS / 6,Chen Hong Wei,PP,Bay / Brown / Gelding,Zoustar,Acouplamas,Al Maher,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G396
E467,ORIENTAL SMOKE,AUS / 6,Michael N Smith,PPG,Bay / Gelding,Artie Schiller,I'm Mary Too,Flying Spur,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E467
J470,PACKING TURBINE,AUS / 3,Edmond Lee Man Bun,PP,Bay / Brown / Gelding,Toronado,Alittle Loose,Onemorenomore,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J470
H166,QUANTUM PATCH,IRE / 5,Simon Yeung Chun Kin,PP,Bay / Gelding,Gleneagles,Naruko,Street Cry,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H166
